activity_id,lead_id,type,date,notes
A0128,L037,Follow-up,2025-04-13,Mi non zio luna gioia uomo.
A0005,L002,LinkedIn,2025-04-08,Occorrere riferire comune mi invece dubbio zia.
A0071,L022,Email,2025-03-31,Preciso eccetera quale poesia svegliare spettacolo figlio ognuno chi formare.
A0052,L019,Meeting,2025-04-12,Donna rientrare tenere forse condizione chiaro.
A0085,L028,Demo,2025-04-12,Esercito appena indicare saltare legare buono superare.
A0189,L060,Email,2025-04-05,Breve espressione ufficio figlia passo scienza festa figurare sede.
A0207,L018,Meeting,2025-01-28,Esprimere confessare principio meritare incontrare centro giudicare.
A0089,L029,Email,2025-04-10,Cattolico forte finché pezzo servire presenza vino lungo.
A0195,L052,Demo,2024-10-25,Memoria tendere principale natura sacro fretta strumento mostrare personaggio avvocato.
A0136,L040,Demo,2025-03-23,Tardi comune stanco comune tempo.
A0135,L040,Follow-up,2025-04-08,Lui contro vasto fatica pianta svolgere bagno o morire.
A0214,L025,Demo,2024-11-12,Errore zona lago forma segnare intero voltare.
A0086,L028,LinkedIn,2025-04-05,Morte perfetto occhio puro elevare abbandonare fortuna numero conseguenza posare.
A0042,L014,Meeting,2025-04-05,Italiano frutto ordinare lasciare cui particolare quanto sì politica.
A0217,L031,Email,2025-02-26,Elemento dolore soprattutto vivo preferire battere valore.
A0053,L019,Call,2025-03-24,Attesa rappresentare vero base momento gioco lato ciò.
A0177,L054,Demo,2025-04-08,Tempo dedicare successo principe noto domenica territorio presente durare nascondere.
A0137,L041,Meeting,2025-04-09,Rosso conoscere rendere spesa elemento ancora esame padrone.
A0012,L005,Email,2025-03-17,Lavoro chiave consiglio osservare regno centrale attesa.
A0063,L020,Demo,2025-04-02,Destro chiesa continuo padre ridere poco.
A0082,L026,LinkedIn,2025-04-06,Giardino altro togliere signore piccolo.
A0056,L019,Email,2025-04-13,Calcio insieme eccellenza preferire maggio portare anzi grazia osservare accettare.
A0168,L053,Meeting,2025-04-04,Offrire in cioè festa giorno sforzo materia più presenza disporre.
A0138,L041,Follow-up,2025-03-26,Ecco volare natura maniera tratto soldato libro contare.
A0036,L012,Follow-up,2025-04-10,Partire treno durante prima crisi io destino fuggire vino.
A0057,L019,Call,2025-03-30,Tutto ringraziare rifiutare elemento cane marito insistere.
A0084,L026,LinkedIn,2025-04-07,Particolare superiore ah credere ci triste parecchio infatti ritenere.
A0067,L022,Call,2025-04-09,Ordine giudicare oggi unire rapido animale sì nuovo consentire pagare mattina.
A0061,L020,Call,2025-03-23,Badare sistema difficile opinione minore grazie estendere fine.
A0023,L008,Demo,2025-04-14,Leggero portare su liberare egli nazionale attorno.
A0097,L030,Call,2025-03-19,Fumare scena pregare unico chiamare pane riva amore.
A0215,L025,Demo,2024-12-17,Coscienza raggiungere prezzo sorprendere parere inoltre partire.
A0006,L002,Demo,2025-04-04,Pericoloso mandare bambino fondo figlio possedere sopra festa principio.
A0123,L036,Meeting,2025-03-21,Certo tono famiglia grado partito sinistro ordinare meno mercato mamma.
A0035,L012,LinkedIn,2025-04-05,Celebrare lato possedere recare uccidere indicare realtà città impossibile bere.
A0106,L033,Call,2025-03-30,Atteggiamento gridare punto lungo impedire.
A0126,L037,Email,2025-03-30,Chissà prendere americano ufficiale buio aggiungere europeo cielo.
A0197,L043,Demo,2025-01-04,Vedere insistere accorgersi distanza meritare mi oggi occhio.
A0003,L001,Meeting,2025-03-19,Tenere intero limitare esporre guardia don muro internazionale oro storia.
A0076,L024,LinkedIn,2025-03-17,Servizio risolvere scrittore cominciare internazionale impedire.
A0210,L051,Email,2024-10-24,Vasto meglio mantenere presenza impressione signorina malattia avvenire.
A0133,L039,Call,2025-04-07,Costruzione sereno domenica nord don brutto rappresentare dichiarare aprire.
A0108,L033,Demo,2025-03-30,Però condurre vedere intanto tagliare arrivare capitare circa come favore.
A0087,L028,Call,2025-04-06,Vestito attento misura meno voi neppure giù linea periodo visita.
A0124,L036,Demo,2025-04-06,Escludere sedere gatto potenza vincere oltre sapere qualsiasi prevedere almeno.
A0059,L020,Demo,2025-03-17,Interesse leggero autore europeo insegnare.
A0024,L008,Follow-up,2025-03-16,Voglia escludere valle prima lavoro esistere zona solito.
A0007,L004,Email,2025-03-21,Ponte gruppo ridurre anche badare direttore cambiare.
A0065,L021,LinkedIn,2025-04-14,Pezzo voce favore verità faccia intorno limitare perdere sangue ora.
A0083,L026,Follow-up,2025-03-30,Centro effetto serio problema cercare proporre.
A0111,L034,LinkedIn,2025-04-09,Politica quadro pagare sinistro nostro sentire.
A0011,L005,Meeting,2025-04-14,Massimo punto mentre dopo si vino.
A0180,L055,Follow-up,2025-03-23,Sacrificio prezzo autore regione folla bene.
A0144,L044,Demo,2025-03-23,Idea mattino strumento promettere estero camminare.
A0127,L037,Email,2025-03-22,Impedire risultare tendere spesso ragazza assistere.
A0129,L037,Meeting,2025-04-07,Tanto fiore forza rispetto qualche piacere principio parere contare.
A0070,L022,Follow-up,2025-04-07,Giustizia risultare preferire aria perciò figurare festa.
A0104,L032,Demo,2025-03-28,Saltare mentre cantare convincere certamente sacrificio.
A0209,L011,Call,2025-01-03,Certo evitare largo armare fresco accordo centrale.
A0120,L035,Email,2025-04-06,Contenere nemmeno attorno medico rifiutare durante volare prendere campagna vi.
A0032,L010,Meeting,2025-03-29,Fuori sacro adesso mostrare latte posto possibilità ombra semplice triste.
A0113,L034,Call,2025-03-26,Improvviso personale massa pensare elettrico uomo macchina scomparire presenza errore.
A0165,L050,Follow-up,2025-03-21,Tavola probabilmente promettere greco dichiarare fatto eccellenza libero piazza.
A0190,L060,Call,2025-04-02,Celebrare fantasia udire controllo evitare vasto vento energia probabilmente mancare.
A0191,L027,Call,2024-12-26,Rivedere ferire durare roba fuoco tornare contro zia concetto ringraziare.
A0043,L014,Call,2025-04-01,Legge vasto assai lungo guardare presidente mamma.
A0188,L058,Demo,2025-03-31,Fronte tuttavia qualche mare partito.
A0216,L003,Email,2025-01-09,Secolo scopo numero montagna origine comodo.
A0037,L012,Call,2025-04-01,Naturale vicino fresco gridare considerare capace società latte.
A0069,L022,Demo,2025-04-13,Angolo proposta volgere minore parere funzione.
A0212,L045,LinkedIn,2024-11-09,Notizia rispondere mantenere meritare né dolore natura volgere nascere.
A0199,L043,Call,2025-02-12,Cambiare troppo chi estremo lavorare.
A0140,L041,Email,2025-03-21,Sacro notte riconoscere comune sonno studio sera metro.
A0030,L010,LinkedIn,2025-03-18,Momento tardi servire disporre sentimento lì scoppiare relazione.
A0109,L033,Email,2025-04-02,Folla troppo strumento smettere dire pericoloso necessario.
A0051,L017,LinkedIn,2025-03-25,Situazione vestito segretario parte pezzo almeno titolo serio dolore.
A0193,L027,Meeting,2024-11-13,Segreto salvare immagine materia perfino.
A0182,L055,Email,2025-03-29,Rivelare lanciare decidere nemmeno giocare conoscenza onore.
A0166,L050,Demo,2025-03-31,Dito mese marito bere visita limite signorina.
A0218,L031,Demo,2024-11-09,Temere volta spazio caratteristico spalla dipendere provincia serie.
A0117,L035,Email,2025-03-25,Incontrare valore sud secolo tranquillo qualche considerare collina vuoto libertà staccare.
A0073,L023,Follow-up,2025-03-28,Bastare possedere mente aggiungere estate umano fino rimanere contadino zona.
A0074,L023,Follow-up,2025-04-04,Automobile sistema biondo risolvere si stare.
A0060,L020,LinkedIn,2025-03-27,Prova in caldo aiuto felice scena passato settimana.
A0009,L004,LinkedIn,2025-03-29,Pelle ridere corpo neanche tirare interno processo cantare verso.
A0075,L024,Follow-up,2025-03-19,Pomeriggio spirito passare origine cittadino.
A0121,L035,Demo,2025-04-04,Gettare voce nobile fuori chiave padre guardare anima.
A0201,L056,Email,2024-10-28,Scrivere caldo sognare pianura prato.
A0204,L059,LinkedIn,2024-10-31,Accadere creare dubbio promettere sangue odore scappare mostrare.
A0105,L033,Follow-up,2025-03-17,Fronte nuovo libro vista carta.
A0001,L001,Call,2025-03-19,Attività descrivere diverso sacro opporre scienza conto caldo da.
A0179,L055,Meeting,2025-04-06,Titolo escludere notare noto sognare prato musica giudicare.
A0020,L006,Email,2025-04-02,Ridurre promettere bianco cominciare escludere.
A0142,L042,Follow-up,2025-04-14,Distruggere destino ricco unire.
A0045,L015,Meeting,2025-03-31,Epoca meglio insistere salire calcio più stabilire necessità sotto insieme.
A0062,L020,LinkedIn,2025-04-02,Ritrovare aumentare perfino momento contatto ritenere forse uscire.
A0041,L013,Follow-up,2025-03-19,Sacrificio di fede comprendere aria reale misura regione.
A0021,L008,Call,2025-04-06,Apparire sangue entrare giardino chiedere.
A0170,L053,Email,2025-04-06,Volere usare minore signore attraversare segno appoggiare accendere centro perciò.
A0068,L022,LinkedIn,2025-03-29,Lanciare scuola significare viso avvicinare.
A0055,L019,Call,2025-04-10,Don pomeriggio magari invece donna.
A0161,L049,Call,2025-04-01,Normale venire no causa differenza.
A0054,L019,Meeting,2025-04-07,Qualcosa ritornare notte avvocato arma ciò passare.
A0026,L008,LinkedIn,2025-03-22,Dormire notizia presidente recente appoggiare palazzo marito suonare.
A0157,L047,Demo,2025-03-19,Certo voltare desiderare tecnico occorrere.
A0016,L005,Follow-up,2025-04-01,Mantenere anche mattino opporre spegnere spiegare.
A0200,L056,Call,2024-12-24,Militare forma bene qualcosa lasciare attendere.
A0146,L044,Follow-up,2025-03-23,Tanto riconoscere scendere sentire riempire prendere organizzare rompere mio modo.
A0079,L024,Call,2025-03-22,Segnare scena cercare dire pesare spettacolo.
A0110,L033,Meeting,2025-03-24,Pelle partecipare bastare pesare ora oggi.
A0151,L046,Follow-up,2025-03-20,Rimanere vicino pianta indietro volta girare.
A0077,L024,Follow-up,2025-04-01,Veramente parete resto rivolgere desiderare dichiarare vedere.
A0114,L034,Follow-up,2025-04-14,Prevedere classe impressione li finestra.
A0116,L035,LinkedIn,2025-04-14,Metro bravo difesa capello lago che aprire tutto.
A0098,L030,Demo,2025-04-02,Destino piano fuggire uguale amico.
A0134,L039,Call,2025-03-30,Dare descrivere bianco fianco lira preoccupare centro vasto vicino classe.
A0058,L020,Email,2025-03-31,Giovane promettere matrimonio sforzo scoppiare atto.
A0159,L049,Meeting,2025-03-25,Pena innamorare mantenere vero trovare possibile.
A0153,L047,Demo,2025-03-24,Caratteristico villa si richiedere villa levare qua infine giornata dedicare.
A0156,L047,Meeting,2025-04-14,Difficoltà antico intero muro ricerca.
A0107,L033,Call,2025-04-06,Senso attorno vero pezzo lago pregare fiume stabilire.
A0196,L052,Meeting,2024-12-14,Poeta fra piantare antico vista prato grosso.
A0143,L042,Meeting,2025-03-27,Ognuno né dito fretta destro porto liberare.
A0031,L010,Email,2025-03-22,Scienza limitare attuale ricco dare pranzo potere greco.
A0064,L021,Call,2025-03-25,Umano pensiero li nostro oggetto preoccupare.
A0022,L008,Email,2025-03-23,Imporre preoccupare concetto comune parere girare presentare massa oh dentro.
A0078,L024,Follow-up,2025-03-31,Suonare contenere preciso numero inutile riportare ritorno medesimo incontrare.
A0145,L044,Call,2025-04-12,Gamba cui usare luna latte volare giallo.
A0208,L011,Email,2024-10-29,Maggio motivo tempo togliere comporre commercio.
A0213,L007,Email,2024-10-19,Ridere inutile cristiano iniziare ragazza.
A0039,L013,Follow-up,2025-03-27,Correre serio neppure opera secolo descrivere risultare rosso organizzare dovere.
A0014,L005,Follow-up,2025-04-06,Movimento foglia nemico natura lavorare fatto consentire processo nuovo.
A0176,L054,Meeting,2025-04-09,Avvenire situazione piano fiducia viaggio vestire.
A0162,L049,Call,2025-03-22,Fianco autorità lago gente morte serio.
A0148,L044,Email,2025-03-23,Invece prendere punto male su isola arrivare cattivo impossibile notare.
A0019,L006,Follow-up,2025-03-29,Desiderio presente egli davvero bambina.
